Category,Question,Number,Answers,
geography,What is the capital of Kenya,1,Nairobi,
geography,Which is the largest ocean,1,Pacific,
geography,What's the smallest country in the world,2,Vatican,Vatican City
geography,What's the largest city in India,1,Bombay,
geography,How many avenues radiate from the Arc de Triomphe in Paris,2,12,twelve
geography,Which river goes through London,1,Thames,
geography,Which is the smallest ocean,1,Arctic,
geography,Where are the Luxembourg Gardens,2,Paris,France
geography,How many Natural Wonders of the World are there,2,7,seven
geography,What is the highest mountain in Africa,1,Kilimanjaro,
